score,quote,cover,title,rank,comment_num
9.6,希望让人自由。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p480747492.jpg,肖申克的救赎,1,894830
9.5,风华绝代。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910813120.jpg,霸王别姬,2,644473
9.4,怪蜀黍和小萝莉不得不说的故事。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p511118051.jpg,这个杀手不太冷,3,852790
9.4,一部美国近现代史。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p510876377.jpg,阿甘正传,4,726157
9.5,最美的谎言。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p510861873.jpg,美丽人生,5,423786
9.2,最好的宫崎骏，最好的久石让。 ,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910830216.jpg,千与千寻,6,677231
9.4,拯救一个人，就是拯救整个世界。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p492406163.jpg,辛德勒的名单,7,390204
9.2,失去的才是永恒的。 ,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p457760035.jpg,泰坦尼克号,8,667886
9.2,诺兰给了我们一场无法盗取的梦。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p513344864.jpg,盗梦空间,9,777300
9.3,小瓦力，大人生。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p449665982.jpg,机器人总动员,10,507408
9.2,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p511146807.jpg,海上钢琴师,11,608469
9.1,英俊版憨豆，高情商版谢耳朵。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p579729551.jpg,三傻大闹宝莱坞,12,687005
9.2,永远都不能忘记你所爱的人。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p524964016.jpg,忠犬八公的故事,13,465742
9.2,天籁一般的童声，是最接近上帝的存在。 ,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910824951.jpg,放牛班的春天,14,461340
9.2,一生所爱。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2455050536.jpg,大话西游之大圣娶亲,15,498639
9.2,千万不要记恨你的对手，这样会让你失去理智。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2190556185.jpg,教父,16,349948
9.1,人人心中都有个龙猫，童年就永远不会消失。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p456668316.jpg,龙猫,17,426406
9.1,如果再也不能见到你，祝你早安，午安，晚安。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p479682972.jpg,楚门的世界,18,465731
9.2,Tomorrow is another day.,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1963126880.jpg,乱世佳人,19,275394
9.1,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910901025.jpg,天堂电影院,20,314225
9.1,满满温情的高雅喜剧。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1454261925.jpg,触不可及,21,372509
8.9,平民励志片。 ,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1312700628.jpg,当幸福来敲门,22,548314
9.2,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1363250216.jpg,熔炉,23,259793
9.0,香港电影史上永不过时的杰作。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2233971046.jpg,无间道,24,407729
9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1910926158.jpg,搏击俱乐部,25,409346
9.4,1957年的理想主义。 ,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173577632.jpg,十二怒汉,26,174415
9.1,爱是一种力量，让我们超越时空感知它的存在。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2206088801.jpg,星际穿越,27,494268
8.9,真正的幸福是来自内心深处。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p663036666.jpg,怦然心动,28,558171
9.1,史诗的终章。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910825503.jpg,指环王3：王者无敌,29,288881
9.0,瑰丽壮观、无人能及的冒险之旅。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1784592701.jpg,少年派的奇幻漂流,30,587044
9.0,对天空的追逐，永不停止。 ,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1446261379.jpg,天空之城,31,337776
9.2,对敌人的仁慈，就是对自己残忍。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1181775734.jpg,鬼子来了,32,232401
9.0,无尽的黑暗。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p462657443.jpg,蝙蝠侠：黑暗骑士,33,326315
8.9,爱情哪怕只有一天。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2189265085.jpg,罗马假日,34,390889
9.1,张艺谋最好的电影。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173575484.jpg,活着,35,271448
8.9,旷古烁今。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1280323646.jpg,大话西游之月光宝盒,36,402883
9.0,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p792443418.jpg,两杆大烟枪,37,276645
8.9,最后那些最无聊的事情，才是最值得怀念的。 ,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p485887754.jpg,飞屋环游记,38,503590
9.1,别样人生。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1808872109.jpg,窃听风暴,39,225681
9.0,自由万岁。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p792238287.jpg,飞越疯人院,40,280312
9.3,海豚的微笑，是世界上最高明的伪装。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p455222172.jpg,海豚湾,41,183280
8.9,史上最美的探戈。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p925123037.jpg,闻香识女人,42,324800
8.8,一张面具背后的理想与革命。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1465235231.jpg,V字仇杀队,43,420217
8.9,带着心爱的人在天空飞翔。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2174346180.jpg,哈尔的移动城堡,44,352422
9.1,优雅的孤独。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2194138787.jpg,教父2,45,188379
